song_key,show_key,song_name,song_set,song_track,song_segue,song_notes,song_cover,song_with_guest
0lxgc4fs,lc1a2te,"Evasive Maneuvers","Set 1",4,NULL,NULL,NULL,NULL
0m8f7gyz,g4vkbjz,Trinocular,"Set 1",2,>,NULL,NULL,NULL
0m9onhiv,j4088jz,"Lo Swaga","Set 2",15,NULL,NULL,NULL,NULL
0mtq3hu8,v5kopux,"Frequencies Peace 3","Set 1",4,NULL,NULL,NULL,NULL
0mvoq0c9,yd0p11f,Kamuy,"Set 2",15,NULL,NULL,NULL,NULL
0mvt0hqm,rw5ltah,Harmonics,"Set 2",11,NULL,NULL,NULL,NULL
0mx0l50s,tm2r23f,"This, Us","Set 1",1,>,NULL,NULL,NULL
0myjd0p3,rf1j0ik,Grow,"Set 1",4,NULL,NULL,NULL,NULL
0n0yinuy,pyh6z3w,"New New 4 U U","Set 1",9,NULL,NULL,NULL,NULL
0n1vtigl,bm1yzmp,March,"Set 2",16,>,NULL,NULL,NULL
0n4pavvn,0p05psi,Grow,"Set 1",1,NULL,NULL,NULL,NULL
0n7ir0qo,ygjfpa4,Arigato,"PA Set",3,NULL,NULL,NULL,NULL
0n9wvwol,g7nai55,Itzamana,"Set 1",7,NULL,NULL,NULL,NULL
